研报名称,机构名称,发布时间,行业,研报地址
6C行业展望：从制冷剂到半导体材料：氟化工行业高端转型下供给重构与市场扩容,大公国际资信评估,2026-08-24,化学原料,https://pdf.dfcfw.com/pdf/H3_AP202608241828352672_1.pdf?1787574156000.pdf
氟化工行业周报：东阳光、永和股份、东岳集团等陆续发布2026中报；萤石、制冷剂价格企稳运行，等待契机,开源证券,2026-08-23,化学原料,https://pdf.dfcfw.com/pdf/H3_AP202608231828344476_1.pdf?1787523037000.pdf
大化工周报：长丝产销较弱，关注旺季补库需求,东吴证券,2026-08-10,化学原料,https://pdf.dfcfw.com/pdf/H3_AP202608101827794938_1.pdf?1786347723000.pdf
氟化工行业周报：萤石行业政策趋严，价格回暖；制冷剂景气坚挺，新一轮行情正在酝酿,开源证券,2026-08-09,化学原料,https://pdf.dfcfw.com/pdf/H3_AP202608091827793866_1.pdf?1786310952000.pdf
氟化工行业：2026年7月月度观察：制冷剂价格继续上行，氟化工企业利润持续增长,国信证券,2026-08-05,化学原料,https://pdf.dfcfw.com/pdf/H3_AP202608051827679554_1.pdf?1785962657000.pdf
石油化工行业研究：多重供应冲击推升恐慌情绪,国金证券,2026-07-26,化学原料,https://pdf.dfcfw.com/pdf/H3_AP202607261827354336_1.pdf?1785077210000.pdf
大化工周报：国际油价上涨，聚酯原料重心上移,东吴证券,2026-07-26,化学原料,https://pdf.dfcfw.com/pdf/H3_AP202607261827354895_1.pdf?1785080438000.pdf
原油周报：霍尔木兹海峡与曼德海峡通航量下降，供应风险推升油价,东吴证券,2026-07-26,化学原料,https://pdf.dfcfw.com/pdf/H3_AP202607261827355010_1.pdf?1785081203000.pdf
原油月报：6月OPEC国家复产200万桶_日，美国原油产量上行,东吴证券,2026-07-20,化学原料,https://pdf.dfcfw.com/pdf/H3_AP202607201827145278_1.pdf?1784565943000.pdf
石油化工行业研究：冲突再度升级，双海峡风险升温,国金证券,2026-07-19,化学原料,https://pdf.dfcfw.com/pdf/H3_AP202607191827105980_1.pdf?1784469046000.pdf
大化工周报：供给端存在约束，期待化工行业需求旺季来临,东吴证券,2026-07-19,化学原料,https://pdf.dfcfw.com/pdf/H3_AP202607191827108804_1.pdf?1784475537000.pdf
厄尔尼诺持续升级 看好制冷剂行业高景气,第一创业,2026-07-09,化学原料,https://pdf.dfcfw.com/pdf/H3_AP202607091826846386_1.pdf?1783617836000.pdf
基础化工行业深度：周期行业ETF策略手册-判断行业发展趋势选ETF,金融街证券,2026-07-09,化学原料,https://pdf.dfcfw.com/pdf/H3_AP202607091826850270_1.pdf?1783627604000.pdf
全球高吸水性树脂（SAP）：市场深度分析与未来展望,武汉问渠汇知信息科技,2026-07-08,化学原料,https://pdf.dfcfw.com/pdf/H3_AP202607081826790360_1.pdf?1783502640000.pdf
