研报名称,机构名称,发布时间,行业,研报地址
综合行业周报：算力扩容驱动光互联升级，闪迪HBF加速TCB有望受益,开源证券,2026-08-16,综合Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202608161828031915_1.pdf?1786915766000.pdf
综合行业周报：功率龙头业绩超预期并上调指引，7月淘天美护yoy+11%,开源证券,2026-08-10,综合Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202608101827797917_1.pdf?1786350317000.pdf
综合行业周报：AI硬件迎来三重催化，ASMPTQ2业绩表现强劲,开源证券,2026-08-03,综合Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202608031827574193_1.pdf?1785743456000.pdf
综合行业周报：教育_时代天使_美图2026H1业绩高增，奢牌加码女表,开源证券,2026-08-03,综合Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202608031827574195_1.pdf?1785743530000.pdf
综合行业周报：电网出口延续高景气，美丽田园&沪上阿姨2026H1业绩高增,开源证券,2026-07-27,综合Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202607271827362149_1.pdf?1785139576000.pdf
综合行业深度报告：全球需求与技术共振，中国牙科从“替代”走向“定义”,开源证券,2026-07-27,综合Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202607271827379739_1.pdf?1785160723000.pdf
综合行业点评报告：中小盘科技回调下的结构再平衡：中报业绩验证期的配置观察,东吴证券,2026-07-26,综合Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202607261827354250_1.pdf?1785077210000.pdf
综合行业周报：算力需求激增驱动AI电源扩容，关注业绩高增的消费&地产企业,开源证券,2026-07-20,综合Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202607201827124795_1.pdf?1784535374000.pdf
综合行业周报：Tower半导体扩产提升业绩指引，Asml业绩超预期,开源证券,2026-07-20,综合Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202607201827124792_1.pdf?1784535274000.pdf
综合行业周报：全球数控机床市场持续高景气，功率半导体中国厂商加速崛起,开源证券,2026-07-13,综合Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202607131826917328_1.pdf?1783931041000.pdf
综合行业周报：功率半导体单柜价值量有望提升6-8倍，BloomEnergy与Brookfield合作框架翻5倍,开源证券,2026-07-06,综合Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202607061826735099_1.pdf?1783325731000.pdf
综合行业周报：AI为功率半导体打开百亿美金新增量，稀土管制致中国牙科材料企业迎全球替代窗口,开源证券,2026-06-22,综合Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202606221823715547_1.pdf?1782115363000.pdf
综合行业周报：800VDC预计成为数据重心架构发展必然趋势，功率半导体开启AI新周期,开源证券,2026-06-15,综合Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202606151823557373_1.pdf?1781512552000.pdf
综合港股行业深度报告：AI驱动变革，云计算进入新一轮扩张周期,开源证券,2026-06-09,综合Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202606091823381670_1.pdf?1781004806000.pdf
综合行业周报：村田等多家电感厂商发涨价函，618美护国货分化加速,开源证券,2026-06-08,综合Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202606081823350401_1.pdf?1780911549000.pdf
综合行业周报：“链接”成AI规模化新瓶颈，HBM扩产拉动TCB设备需求,开源证券,2026-06-08,综合Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202606081823348898_1.pdf?1780906898000.pdf
综合行业周报：SOFC从小众“备用电源”到大众“主力供电”，618大促高端美妆品牌表现亮眼,开源证券,2026-05-25,综合Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202605251822845135_1.pdf?1779697886000.pdf
综合行业周报：AI算力扩张、存储持续偏紧，设备受益于复杂度提升,开源证券,2026-05-25,综合Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202605251822845109_1.pdf?1779697653000.pdf
综合行业周报：Bloom Energy业绩飙升订单饱满，津上机床中国业绩亮眼,开源证券,2026-05-05,综合Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202605051821974365_1.pdf?1778055434000.pdf
