研报名称,机构名称,发布时间,行业,研报地址
纺织服装2026中报前瞻暨中期策略：拨开叙事迷雾，捕捉价值拐点,国信证券,2026-07-15,服装家纺,https://pdf.dfcfw.com/pdf/H3_AP202607151826980787_1.pdf?1784114534000.pdf
中国企业置装白皮书：2026团服职业装采购指南,中国纺织信息中心,2026-07-09,服装家纺,https://pdf.dfcfw.com/pdf/H3_AP202607091826833152_1.pdf?1783591147000.pdf
运动服饰行业：2Q26整体流水表现环比减弱，聚焦下半年趋势反转的可能性,浦银国际证券,2026-07-08,服装家纺,https://pdf.dfcfw.com/pdf/H3_AP202607081826818974_1.pdf?1783534500000.pdf
纺织服装行业周报：耐克公布FY2026年度业绩，预计FY2027Q1营收下降但毛利率改善,山西证券,2026-07-07,服装家纺,https://pdf.dfcfw.com/pdf/H3_AP202607071826763302_1.pdf?1783414328000.pdf
纺织服装海外跟踪系列七十五：耐克FY2026关税返还带动利润端改善，毛利率修复有望提前至FY27Q1,国信证券,2026-07-02,服装家纺,https://pdf.dfcfw.com/pdf/H3_AP202607021826660248_1.pdf?1783010177000.pdf
新消费时代下的大机遇系列报告二：热潮褪去后的核心竞争力是什么？潮玩经济：短期流行符号还是长期平台生意？,中银证券,2026-07-01,服装家纺,https://pdf.dfcfw.com/pdf/H3_AP202607011826630345_1.pdf?1782921255000.pdf
纺服行业2026年618大促点评：细分运动户外和轻奢本土品牌排名跃升，高端消费延续高景气,国信证券,2026-06-24,服装家纺,https://pdf.dfcfw.com/pdf/H3_AP202606241823796325_1.pdf?1782294087000.pdf
「连衣裙」2026年5月市场报告,蔚云出海(广州)企业咨询,2026-06-23,服装家纺,https://pdf.dfcfw.com/pdf/H3_AP202606231823779117_1.pdf?1782249460000.pdf
纺织服装6月投资策略：服装社零增长凸显韧性，纺织原料价格回落,国信证券,2026-06-22,服装家纺,https://pdf.dfcfw.com/pdf/H3_AP202606221823721101_1.pdf?1782125532000.pdf
纺织服装行业周报：纺织制造台企5月营收环比有所改善，周大福FY2026业绩超预期,山西证券,2026-06-15,服装家纺,https://pdf.dfcfw.com/pdf/H3_AP202606151823568852_1.pdf?1781538639000.pdf
纺织服饰行业专题：高端消费回暖，轻奢品牌崛起，如何把握投资脉搏,国信证券,2026-06-14,服装家纺,https://pdf.dfcfw.com/pdf/H3_AP202606141823549928_1.pdf?1781447849000.pdf
2026 bilibili户外潮流行业营销通案,哔哩哔哩,2026-06-11,服装家纺,https://pdf.dfcfw.com/pdf/H3_AP202606111823450998_1.pdf?1781191580000.pdf
天猫服饰2026AW行业趋势白皮书,杭州智篆文化传播,2026-06-02,服装家纺,https://pdf.dfcfw.com/pdf/H3_AP202606021823149622_1.pdf?1780390932000.pdf
纺织服装行业周报：Amer Sports公布FY2026Q1财报，上调全年业绩指引,山西证券,2026-05-25,服装家纺,https://pdf.dfcfw.com/pdf/H3_AP202605251822858125_1.pdf?1779731579000.pdf
纺织服装海外跟踪系列七十四：亚玛芬一季度业绩超彭博一致预期，管理层上调全年指引,国信证券,2026-05-20,服装家纺,https://pdf.dfcfw.com/pdf/H3_AP202605201822503291_1.pdf?1779312456000.pdf
抖音运动奢品营销资讯2026夏季刊,北京巨量引擎网络技术,2026-05-19,服装家纺,https://pdf.dfcfw.com/pdf/H3_AP202605191822425573_1.pdf?1779177838000.pdf
纺织服装5月投资策略：4月服装社零同增3.6%，越南鞋靴出口承压,国信证券,2026-05-19,服装家纺,https://pdf.dfcfw.com/pdf/H3_AP202605191822448286_1.pdf?1779213380000.pdf
纺织服装2025年报&26一季报总结：消费复苏渐显，制造景气承压,国信证券,2026-05-13,服装家纺,https://pdf.dfcfw.com/pdf/H3_AP202605131822253755_1.pdf?1778668764000.pdf
纺织服饰2025年报及2026年一季报总结：26Q1品牌服饰业绩改善，上游表现分化,东吴证券,2026-05-08,服装家纺,https://pdf.dfcfw.com/pdf/H3_AP202605081822065045_1.pdf?1778248294000.pdf
纺织服装海外跟踪系列七十三：阿迪达斯一季度收入增长14%，所有区域和渠道均实现增长,国信证券,2026-04-30,服装家纺,https://pdf.dfcfw.com/pdf/H3_AP202604301821865881_1.pdf?1777582221000.pdf
耐用消费产业行业研究：内棉价格有望温和上行；水羊高端化成效显著,国金证券,2026-04-27,服装家纺,https://pdf.dfcfw.com/pdf/H3_AP202604271821598450_1.pdf?1777287348000.pdf
儿童服饰品类,宁波知行合一信息技术咨询服务,2026-04-17,服装家纺,https://pdf.dfcfw.com/pdf/H3_AP202604171821280042_1.pdf?1776411859000.pdf
纺织服装4月投资策略暨一季报前瞻：3月服装社零同增7%，一季度品牌服饰及纺纱龙头业绩预期乐观,国信证券,2026-04-16,服装家纺,https://pdf.dfcfw.com/pdf/H3_AP202604161821274327_1.pdf?1776376245000.pdf
纺织服装海外跟踪系列七十二：迅销FY26Q2收入增长15%，管理层再次上调2026财年预期,国信证券,2026-04-10,服装家纺,https://pdf.dfcfw.com/pdf/H3_AP202604101821112247_1.pdf?1775826608000.pdf
2026全球女士内衣市场洞察白皮书,沙利文公司,2026-04-09,服装家纺,https://pdf.dfcfw.com/pdf/H3_AP202604091821097613_1.pdf?1775764881000.pdf
