研报名称,机构名称,发布时间,行业,研报地址
消费者服务行业快报：1月免税迎“开门红”，岛民免税落地扩容内需,华金证券,2026-02-13,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202602121819907137_1.pdf?1770967317000.pdf
2026年中国旅客出境游人群调研及洞察报告,极光月狐数据,2026-02-12,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202602121819896517_1.pdf?1770915504000.pdf
社会服务行业双周报：春节将至，出行市场高景气,中银证券,2026-02-09,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202602091819829991_1.pdf?1770635602000.pdf
消费者服务行业双周报：“年味”成今春关键词，年俗体验驱动出游新方式,东莞证券,2026-02-08,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202602081819824276_1.pdf?1770553875000.pdf
消费者服务行业点评：岛民消费进境商品“零关税”政策点评,太平洋,2026-02-08,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202602081819824415_1.pdf?1770569453000.pdf
中国旅游行业展望，2026年2月,中诚信国际,2026-02-06,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202602061819806117_1.pdf?1770389114000.pdf
社会服务行业快评报告：岛民免税政策落地，海南自贸港再迎利好,万联证券,2026-02-06,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202602061819814960_1.pdf?1770410118000.pdf
社会服务行业2026年度策略：服务型消费有望成为促进消费增长重要引擎,山西证券,2026-02-06,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202602061819805386_1.pdf?1770385481000.pdf
旅游促进发展：从十年世界银行经验中汲取的教训,世界银行,2026-02-05,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202602051819786203_1.pdf?1770304048000.pdf
酒店行业：数据图解，疫情对全国酒店市场的影响分析,北京优尼华盛酒店管理咨询,2026-02-03,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202602031819645493_1.pdf?1770198223000.pdf
社会服务行业周报：国产AI应用访问量攀升，关注卡位瘦身需求产品潜力,开源证券,2026-02-02,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202602021819244270_1.pdf?1770019477000.pdf
社会服务行业快评报告：优化扩大服务供给，加力培育服务消费新的增长点,万联证券,2026-02-02,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202602021819362592_1.pdf?1770058774000.pdf
服务消费领域再迎政策利好：优化扩大服务供给、培育服务消费新增长点,中银证券,2026-02-01,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601311818853853_1.pdf?1769939417000.pdf
社会服务行业2025Q4基金持仓分析报告：重仓比例环比回升，龙头个股普遍增配,万联证券,2026-02-01,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202602011819106389_1.pdf?1769973919000.pdf
旅游及景区行业深度报告：海南专题报告：风宜长物放眼量，自贸港赶海正当时,开源证券,2026-01-29,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601291818531990_1.pdf?1769682503000.pdf
社会服务行业2026年投资策略：消费回暖在即，关注细分赛道复苏节奏,西南证券,2026-01-28,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601281818499101_1.pdf?1769606198000.pdf
消费专题报告：估值低位下的结构演绎，聚焦“红利资产”与“情绪消费”,华金证券,2026-01-28,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601281818498597_1.pdf?1769606616000.pdf
免税行业深度报告：高端零售率先复苏，免税景气向好,东莞证券,2026-01-28,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601281818502298_1.pdf?1769614382000.pdf
社会服务行业周报：锅圈开启“四店齐发”布局，茶饮龙头强者恒强,开源证券,2026-01-26,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601261818412085_1.pdf?1769414279000.pdf
社会服务行业双周报（第123期）：业界加速布局银发经济，春运启幕、出行需求有望集中释放,国信证券,2026-01-26,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601261818416088_1.pdf?1769423397000.pdf
社会服务行业双周报：全年社零稳步增长，41口岸将设进境免税店,中银证券,2026-01-26,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601261818427459_1.pdf?1769445245000.pdf
酒店行业深度专题：新周期开启，头部玩家重塑成长价值,国信证券,2026-01-26,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601261818433776_1.pdf?1769455485000.pdf
2026马年春节出行预测,携程集团,2026-01-23,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601231818303983_1.pdf?1769162288000.pdf
重庆小面品类发展报告2026,红餐产业研究院,2026-01-23,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601231818320309_1.pdf?1769181821000.pdf
消费者服务行业双周报：中免国际拟收购DFS大中华区旅游零售业务,东莞证券,2026-01-23,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601231818324017_1.pdf?1769184790000.pdf
2026智旅新纪元：AI与旅游产业融合全景报告,艺恩数据,2026-01-22,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601221818269850_1.pdf?1769098140000.pdf
西贝2025年营销动作、社媒热度及消费者反馈分析,数说故事,2026-01-20,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601201818132856_1.pdf?1768904557000.pdf
商社美护行业周报：春节出行预定火热，潮宏基业绩预增,国元证券,2026-01-20,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601201818159933_1.pdf?1768936550000.pdf
消费行业行业动态报告：两新政策国补延续，服务消费乍暖还寒,中国银河,2026-01-20,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601201818163211_1.pdf?1768938515000.pdf
社会服务行业周报：赤子城科技Dramabite成短剧黑马，关注AKK菌布局企业,开源证券,2026-01-19,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601191818091127_1.pdf?1768811790000.pdf
社会服务行业周报：节后离岛免税销售延续景气，表演机器人预计2026年租赁市场超百亿元,开源证券,2026-01-12,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601121816931108_1.pdf?1768206147000.pdf
社会服务行业双周报：元旦出行热度开门红，期待全年景气度延续,中银证券,2026-01-12,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601121816940675_1.pdf?1768231596000.pdf
社会服务行业双周报（第122期）：促服务消费政策持续加码，携程“智能引擎3.0”AI优化产品推荐,国信证券,2026-01-12,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601121816953853_1.pdf?1768254137000.pdf
烤肉品类发展报告2026,红餐产业研究院,2026-01-09,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601091816878760_1.pdf?1767974728000.pdf
消费者服务行业双周报：2026年元旦3天国内出游1.42亿人次,东莞证券,2026-01-09,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601091816877161_1.pdf?1767972575000.pdf
社会服务行业1月投资策略：元旦出行开门红，春节错期推荐反季节经营旺季龙头,国信证券,2026-01-07,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601071816529307_1.pdf?1767775271000.pdf
旅游行业2026元旦小长假数据快评报告：元旦旅游“开门红”，市场景气度提升,万联证券,2026-01-06,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601061815855193_1.pdf?1767688535000.pdf
2026年元旦旅游数据点评：元旦出行热度持续高增，海南免税销售实现开门红,中银证券,2026-01-06,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601061815903264_1.pdf?1767694109000.pdf
云南省2025旅居产业十五五发展展望蓝皮书,智领优业产业咨询,2026-01-06,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601061815942942_1.pdf?1767712203000.pdf
社会服务行业1月投资前瞻：旺季更旺，1月布局高景气出行链标的,中国银河,2026-01-06,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601061816082465_1.pdf?1767716525000.pdf
社会服务行业周报：元旦海南旅游消费活力释放，美图拟内设千万风投转型AI Agent,开源证券,2026-01-05,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601051815150270_1.pdf?1767599817000.pdf
2026年元旦旅游出行数据点评：元旦开门红，出游迎增长,东莞证券,2026-01-05,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601051815425946_1.pdf?1767633831000.pdf
酒店行业：2026元旦数据预测报告,上海携程数科信息技术,2026-01-04,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601031813933578_1.pdf?1767527531000.pdf
26年元旦假期点评：免税、景区表现靓丽,信达证券,2026-01-04,旅游酒店,https://pdf.dfcfw.com/pdf/H3_AP202601041814865935_1.pdf?1767565052000.pdf
