研报名称,机构名称,发布时间,行业,研报地址
家电行业研究：7月TV面板价格小幅回落，库存和供需结构相对健康,国金证券,2026-07-12,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202607121826912236_1.pdf?1783881142000.pdf
家电行业周报：面板供给格局改善，龙头有望拓展玻璃基板业务,华源证券,2026-07-12,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202607121826913864_1.pdf?1783895428000.pdf
家电行业研究：欧洲炎夏催化空调需求，关注中国家电企业出口弹性,国金证券,2026-07-05,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202607051826728223_1.pdf?1783265688000.pdf
家电行业周报：欧洲高温催化，关注移动空调新品出海机会,华源证券,2026-07-05,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202607051826730750_1.pdf?1783282846000.pdf
智能影像设备系列一：云台相机：小巧出大片，赛道高成长,华源证券,2026-07-02,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202607021826653124_1.pdf?1782990835000.pdf
家电行业日报：出口链：2026M5家电出口延续高个位数增长，吸尘器高增+52%,太平洋,2026-06-25,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202606251823829366_1.pdf?1782374738000.pdf
家电行业研究：5月社零同比承压，重视家电下半年修复机会,国金证券,2026-06-22,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202606221823720812_1.pdf?1782124856000.pdf
家电行业周报：两轮车智能化支撑提价，格局加速集中,华源证券,2026-06-21,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202606211823711501_1.pdf?1782073107000.pdf
家电行业研究：5月家电出口量同比+8.8%，环比4月增长提速,国金证券,2026-06-14,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202606141823549286_1.pdf?1781437875000.pdf
家电行业周报：美加墨世界杯开赛，黑电厂商有望受益,华源证券,2026-06-14,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202606141823553653_1.pdf?1781473457000.pdf
家电行业研究：IDC温控需求释放，中央空调行业结构性机会凸显,国金证券,2026-06-07,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202606071823341511_1.pdf?1780850333000.pdf
家电行业周报：AI赋能小家电，打开行业成长新空间,华源证券,2026-06-07,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202606071823343894_1.pdf?1780865158000.pdf
2026厨房大家电行业简析报告,上海嘉世营销咨询,2026-06-02,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202606021823148830_1.pdf?1780387050000.pdf
家电行业研究：6月空冰洗排产较去年同期下降,国金证券,2026-05-31,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202605311823105588_1.pdf?1780239273000.pdf
家电行业日报：出口链：2026M4家电出口转正至+7%，清洁电器延续高增态势,太平洋,2026-05-26,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202605261822869675_1.pdf?1779783149000.pdf
家电行业周报：厄尔尼诺有望拉动家电需求，影石麦克风新品发布,华源证券,2026-05-25,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202605251822847140_1.pdf?1779706154000.pdf
家用电器行业深度报告：3D打印行业：消费级3D打印需求扩容进行时，国产企业承东风起,开源证券,2026-05-25,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202605251822860908_1.pdf?1779737520000.pdf
家电行业研究：4月家电社零增速承压，受高基数效应影响,国金证券,2026-05-24,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202605241822838255_1.pdf?1779633505000.pdf
家电行业2025年报及2026年一季报业绩综述：谷底春声近，蓄力待日晴,华源证券,2026-05-22,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202605221822686698_1.pdf?1779470048000.pdf
家电行业研究：4月家电线上销售整体承压，关注促销季需求边际变化,国金证券,2026-05-17,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202605171822383357_1.pdf?1779032786000.pdf
家电行业周报：安克发布新品Solarbank 4，重新定义阳台光储,华源证券,2026-05-17,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202605171822385066_1.pdf?1779056824000.pdf
家电行业研究：三星停止中国大陆家电产品销售，5月上旬TV面板价格整体持稳,国金证券,2026-05-10,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202605101822123226_1.pdf?1778425746000.pdf
家电行业周报：便携影像赛道高速增长，影石新品发布在即,华源证券,2026-05-10,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202605101822128223_1.pdf?1778452537000.pdf
家电：三星全面退出中国家电市场，国产替代持续深化,太平洋,2026-05-08,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202605081822062702_1.pdf?1778240629000.pdf
家电行业周报：家电持仓降至低位，关注一季报超预期标的,华源证券,2026-05-06,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202605051821973790_1.pdf?1778053551000.pdf
家电行业周报：3月家电出口承压，品类区域表现分化,国金证券,2026-04-26,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202604261821586282_1.pdf?1777199596000.pdf
家电行业周报：上海楼市回暖，关注地产后周期估值修复,华源证券,2026-04-26,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202604261821594184_1.pdf?1777240881000.pdf
家电行业周报：3月家电社零、出口增速承压，受基数及错期影响,国金证券,2026-04-19,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202604191821320586_1.pdf?1776611560000.pdf
家电行业周报：北美电动低速车加速渗透，涛涛车业保持高增长,华源证券,2026-04-19,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202604191821322530_1.pdf?1776629016000.pdf
家电行业研究：索尼True RGB技术发布，RGB-Mini LED加速扩容,国金证券,2026-04-13,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202604131821144025_1.pdf?1776066886000.pdf
家电行业周报：经济性与政策双重驱动，阳台光储有望加速普及,华源证券,2026-04-12,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202604121821142063_1.pdf?1776025909000.pdf
数码家电行业周度市场观察第13周,艾瑞股份,2026-04-09,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202604081821073781_1.pdf?1775719912000.pdf
家电行业研究：TCL、索尼双向赋能实现共赢，彩电格局或迎来重构,国金证券,2026-04-06,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202604061821029067_1.pdf?1775471314000.pdf
家电行业周报：黑电加速出海，欧洲储能供不应求,华源证券,2026-04-06,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202604061821031839_1.pdf?1775512338000.pdf
商社美护行业周报：年报业绩密集披露，多地官宣春假安排,国元证券,2026-04-02,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202604021820970368_1.pdf?1775116968000.pdf
家电行业周报：国际局势推高能源价格，家储及电动两轮车需求提升,华源证券,2026-03-29,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202603291820840988_1.pdf?1774820117000.pdf
家电行业周报：创想三维提交招股书，3D打印加速普及,华源证券,2026-03-22,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202603221820688360_1.pdf?1774210773000.pdf
数码家电行业周度市场观察第11周,艾瑞股份,2026-03-20,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202603201820669590_1.pdf?1774029648000.pdf
家电行业周报（26年第11周）：1-2月家电出口额增长9%，内外销环比积极改善,国信证券,2026-03-17,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202603171820590453_1.pdf?1773736761000.pdf
2025家用净水市场回顾&2026年展望：从“政策红利”到“内外兼修”,捷孚凯市场咨询,2026-03-15,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202603151820565020_1.pdf?1773589157000.pdf
家电行业周报：AWE人气火爆，AI走进物理世界,华源证券,2026-03-15,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202603151820566444_1.pdf?1773606780000.pdf
数码家电行业周度市场观察第9周,艾瑞股份,2026-03-08,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202603071820374813_1.pdf?1772965489000.pdf
家电行业周报：OpenClaw现象级火爆，AI NAS渗透率有望加速提升,华源证券,2026-03-08,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202603081820393907_1.pdf?1773011579000.pdf
家电行业周报：追觅春晚高投入带来高曝光，新兴家电有望迈向“国民化”,华源证券,2026-03-01,其他家电Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202603011820159647_1.pdf?1772385065000.pdf
