研报名称,机构名称,发布时间,行业,研报地址
新能源周报（第74期）：关注降价、减值对业绩的短期冲击,太平洋,2024-01-30,电池,https://pdf.dfcfw.com/pdf/H3_AP202401301619507038_1.pdf?1706626704000.pdf
电新行业双周报2024年第3期总第25期：风电新增装机创历史新高，广东省海风加速释放,长城国瑞证券,2024-01-29,电池,https://pdf.dfcfw.com/pdf/H3_AP202401291619329239_1.pdf?1706565103000.pdf
氢能月刊（24.01）：绿氢补贴纷来沓至，产业步入黄金发展期,民生证券,2024-01-29,电池,https://pdf.dfcfw.com/pdf/H3_AP202401281619247825_1.pdf?1706521424000.pdf
电力设备及新能源行业周报：产业周跟踪： 风光全年装机双双超预期，特斯拉盈利能力下滑引发市场担忧,华福证券,2024-01-29,电池,https://pdf.dfcfw.com/pdf/H3_AP202401291619252422_1.pdf?1706614152000.pdf
电力设备及新能源行业点评：2023年国内风光储跨越式发展，内卷待破，出海可期,平安证券,2024-01-29,电池,https://pdf.dfcfw.com/pdf/H3_AP202401291619252455_1.pdf?1706536383000.pdf
电气设备行业周报：新年新车重磅上市，OBC市场增长趋势整体向好,德邦证券,2024-01-29,电池,https://pdf.dfcfw.com/pdf/H3_AP202401291619253436_1.pdf?1706517866000.pdf
电力设备与新能源行业周报：装机超预期彰显需求弹性，市场风格切换提供上车良机,国金证券,2024-01-29,电池,https://pdf.dfcfw.com/pdf/H3_AP202401291619253454_1.pdf?1706517866000.pdf
电力设备及新能源行业周报：能源局发布风光储装机数据，2023年装机超预期,平安证券,2024-01-29,电池,https://pdf.dfcfw.com/pdf/H3_AP202401291619253775_1.pdf?1706517966000.pdf
新能源动力系统行业周报：国家能源局宣布我国新型储能已投运装机超3000万千瓦,山西证券,2024-01-29,电池,https://pdf.dfcfw.com/pdf/H3_AP202401291619254453_1.pdf?1706537305000.pdf
电力设备行业周报：大储延续高景气，特斯拉机器人有望明年量产,华安证券,2024-01-29,电池,https://pdf.dfcfw.com/pdf/H3_AP202401291619258516_1.pdf?1706530041000.pdf
电池及储能行业周报：多家车企发布销量目标，行业需求向好,东海证券,2024-01-29,电池,https://pdf.dfcfw.com/pdf/H3_AP202401291619266729_1.pdf?1706535348000.pdf
动力电池及电气化行业周报：特斯拉加速扩产大圆柱产能，利好高镍三元和硅基负极,平安证券,2024-01-29,电池,https://pdf.dfcfw.com/pdf/H3_AP202401291619270654_1.pdf?1706533827000.pdf
电力设备行业研究周报：2023Q4电新行业基金持仓分析,申港证券,2024-01-29,电池,https://pdf.dfcfw.com/pdf/H3_AP202401291619272300_1.pdf?1706540024000.pdf
