研报名称,机构名称,发布时间,行业,研报地址
黄金珠宝专题：金价上行有利行业长期景气，但也需警惕“涨价陷阱”,开源证券,2024-07-18,珠宝首饰,https://pdf.dfcfw.com/pdf/H3_AP202407181638044231_1.pdf?1721318242000.pdf
珠宝首饰行业专题：社零行业专题系列之二：培育钻石行业分析框架,信达证券,2024-03-20,珠宝首饰,https://pdf.dfcfw.com/pdf/H3_AP202403201627350343_1.pdf?1710971150000.pdf
黄金珠宝行业点评：金价稳步上行催化板块行情，两会提案关注黄金珠宝消费税,国信证券,2024-03-11,珠宝首饰,https://pdf.dfcfw.com/pdf/H3_AP202403111626215421_1.pdf?1710164927000.pdf
黄金珠宝行业专题：进击的逆周期品类，大众与奢侈品的过渡,东方财富证券,2024-03-01,珠宝首饰,https://pdf.dfcfw.com/pdf/H3_AP202403011624854163_1.pdf?1709319777000.pdf
黄金珠宝行业：春节销售开门红，24年有望延续良好表现,东兴证券,2024-02-23,珠宝首饰,https://pdf.dfcfw.com/pdf/H3_AP202402231623226595_1.pdf?1708707475000.pdf
商贸零售行业1月投资策略：元旦假期消费稳步复苏，黄金珠宝旺季行情值得期待,国信证券,2024-01-04,珠宝首饰,https://pdf.dfcfw.com/pdf/H3_AP202401041616339332_1.pdf?1704381884000.pdf
商业贸易行业2024年度策略报告：审时度势，轻舟已过万重山,华福证券,2023-12-28,珠宝首饰,https://pdf.dfcfw.com/pdf/H3_AP202312281615141721_1.pdf?1703754352000.pdf
11月黄金珠宝行业跟踪：11月限上金银珠宝零售额同比+10.7%，线上数据表现亮眼,万联证券,2023-12-24,珠宝首饰,https://pdf.dfcfw.com/pdf/H3_AP202312241614880450_1.pdf?1703428619000.pdf
10月钻石行业跟踪报告：10月印度培育钻石和天然钻石毛坯进口额同比显著回升,万联证券,2023-11-24,珠宝首饰,https://pdf.dfcfw.com/pdf/H3_AP202311241612230921_1.pdf?1700850605000.pdf
钟表珠宝行业专题研究系列一：黄金避险需求凸显，钟表珠宝行业三季报业绩稳定增长,源达信息,2023-11-10,珠宝首饰,https://pdf.dfcfw.com/pdf/H3_AP202311101609900329_1.pdf?1699628277000.pdf
珠宝行业2023年三季报综述：培育钻石板块业绩承压，黄金珠宝板块表现较好,万联证券,2023-11-09,珠宝首饰,https://pdf.dfcfw.com/pdf/H3_AP202311091609772646_1.pdf?1699522852000.pdf
9月黄金珠宝行业跟踪：9月黄金珠宝零售额保持增长，线上表现良好,万联证券,2023-10-20,珠宝首饰,https://pdf.dfcfw.com/pdf/H3_AP202310201602158607_1.pdf?1697795878000.pdf
黄金珠宝行业跟踪报告：8月黄金珠宝行业景气度进一步上行，关注销售旺季表现,万联证券,2023-09-21,珠宝首饰,https://pdf.dfcfw.com/pdf/H3_AP202309211599663075_1.pdf?1695301705000.pdf
黄金珠宝行业研究：七夕催化、8月黄金珠宝线上高增，金价微涨,国金证券,2023-09-18,珠宝首饰,https://pdf.dfcfw.com/pdf/H3_AP202309181599026311_1.pdf?1695033672000.pdf
珠宝行业2023年中报业绩综述：培育钻石板块业绩承压，黄金珠宝板块表现较好,万联证券,2023-09-11,珠宝首饰,https://pdf.dfcfw.com/pdf/H3_AP202309111598196822_1.pdf?1694437321000.pdf
