研报名称,机构名称,发布时间,行业,研报地址
电子行业跟踪报告：基金重仓比例升至高位，AI及消费电子产业链受关注,万联证券,2024-01-30,半导体,https://pdf.dfcfw.com/pdf/H3_AP202401301619517271_1.pdf?1706634795000.pdf
电子行业2023Q4基金持仓分析：电子持仓占比进一步提升，超配比例达3.6%,信达证券,2024-01-30,半导体,https://pdf.dfcfw.com/pdf/H3_AP202401301619498993_1.pdf?1706607278000.pdf
半导体行业研究周报：三星S24海外预定量超预期，AI有望拉动半导体复苏,天风证券,2024-01-30,半导体,https://pdf.dfcfw.com/pdf/H3_AP202401301619498994_1.pdf?1706608661000.pdf
电子行业周报：台积电加速推进CoWos扩产，英特尔Foveros量产,甬兴证券,2024-01-30,半导体,https://pdf.dfcfw.com/pdf/H3_AP202401301619500331_1.pdf?1706606572000.pdf
电子行业周报：ASML业绩超预期，行业周期向上可期,上海证券,2024-01-30,半导体,https://pdf.dfcfw.com/pdf/H3_AP202401301619509273_1.pdf?1706619908000.pdf
电子周观点：持续看好AI、苹果XR创新,德邦证券,2024-01-29,半导体,https://pdf.dfcfw.com/pdf/H3_AP202401291619252397_1.pdf?1706613858000.pdf
电子行业周报：价格止跌反弹，显示面板暖阳初现,华福证券,2024-01-29,半导体,https://pdf.dfcfw.com/pdf/H3_AP202401291619252426_1.pdf?1706513836000.pdf
电子行业点评：透视存储龙头财报，从云到端的未来,民生证券,2024-01-29,半导体,https://pdf.dfcfw.com/pdf/H3_AP202401291619254732_1.pdf?1706524151000.pdf
电子周跟踪：中国芯片制造设备进口猛增，海力士FY22Q4以来首次扭亏为盈,山西证券,2024-01-29,半导体,https://pdf.dfcfw.com/pdf/H3_AP202401291619254863_1.pdf?1706529975000.pdf
电子行业：中国智能手机出货量创近十年新低，ASML2023年净销售额增长30%,平安证券,2024-01-29,半导体,https://pdf.dfcfw.com/pdf/H3_AP202401291619260719_1.pdf?1706529259000.pdf
电子2024年投资策略：创新之需，周始之律，国芯之替,山西证券,2024-01-29,半导体,https://pdf.dfcfw.com/pdf/H3_AP202401291619270617_1.pdf?1706537933000.pdf
电子周报,太平洋,2024-01-29,半导体,https://pdf.dfcfw.com/pdf/H3_AP202401291619270761_1.pdf?1706542451000.pdf
电子行业周报：2023年全球半导体收入同比下降11.1%,中山证券,2024-01-29,半导体,https://pdf.dfcfw.com/pdf/H3_AP202401291619271649_1.pdf?1706538177000.pdf
电子行业周观点：英特尔与联电合作布局12nm，全球PCB产值有望回升,万联证券,2024-01-29,半导体,https://pdf.dfcfw.com/pdf/H3_AP202401291619273224_1.pdf?1706568282000.pdf
电子行业周报：海力士2023Q4经营业绩环比改善，AI需求增长推动DDR5和HBM3产品持续放量,东海证券,2024-01-29,半导体,https://pdf.dfcfw.com/pdf/H3_AP202401291619275402_1.pdf?1706547538000.pdf
电子行业双周报：半导体设备龙头23Q4业绩高增,东莞证券,2024-01-29,半导体,https://pdf.dfcfw.com/pdf/H3_AP202401291619251603_1.pdf?1706528627000.pdf
